Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Car_Age,Brand,Model,Price_Per_Kilometer,Kilometers_Driven_log,Price_log
Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,Petrol,Automatic,First,13.53,1984.0,177.01,5.0,23.5,10,Audi,A62011-2015,0.0004197552915959632,10.932839076694297,3.1570004211501135
Hyundai i20 1.2 Magna,Kolkata,2010,45807,Petrol,Manual,First,18.5,1197.0,80.0,5.0,1.87,15,Hyundai,i201.2,4.082345493046914e-05,10.73219219685162,0.6259384308664954
Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,Petrol,Automatic,First,14.4,1598.0,103.6,5.0,2.85,15,Volkswagen,VentoPetrol,8.636363636363636e-05,10.404262840448617,1.0473189942805592
Honda City Corporate Edition,Mumbai,2012,51920,Petrol,Manual,First,16.8,1497.0,116.3,5.0,4.25,13,Honda,CityCorporate,8.185670261941448e-05,10.857459351377972,1.4469189829363254
Nissan Micra Diesel XV,Hyderabad,2012,54000,Diesel,Manual,First,23.08,1461.0,63.1,5.0,4.25,13,Nissan,MicraDiesel,7.87037037037037e-05,10.896739325546411,1.4469189829363254
Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Petrol,Manual,Second,20.92,998.0,67.1,5.0,2.75,12,Maruti,AltoK10,5.092592592592592e-05,10.896739325546411,1.0116009116784799
Honda WRV i-VTEC VX,Kochi,2018,37430,Petrol,Manual,First,17.5,1199.0,88.7,5.0,9.9,7,Honda,WRVi-VTEC,0.0002644937216136789,10.530227800898475,2.2925347571405443
Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494.0,102.0,7.0,4.0,18,Toyota,Innova2.5,1.5267175572519083e-05,12.476099782743233,1.3862943611198906
Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,7.75,12,Renault,Duster110PS,0.000125,11.03488966402723,2.0476928433652555
Toyota Corolla Altis G,Delhi,2012,87615,Petrol,Manual,First,14.53,1798.0,138.1,5.0,6.75,13,Toyota,CorollaAltis,7.704160246533128e-05,11.38070749514252,1.9095425048844386
Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Diesel,Automatic,Second,11.18,2696.0,184.0,7.0,12.5,12,Mahindra,SsangyongRexton,0.00017361111111111112,11.184421397998193,2.5257286443082556
Audi A6 2.7 TDI,Kolkata,2010,35000,Diesel,Automatic,First,12.4,2698.0,179.5,5.0,11.5,15,Audi,A62.7,0.00032857142857142856,10.46310334047155,2.4423470353692043
Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598.0,103.5,5.0,6.98,11,Volkswagen,Vento1.6,0.00012592231783658964,10.922894283023263,1.9430489167742813
Maruti Wagon R LXI BSIII,Jaipur,2009,83816,Petrol,Manual,Second,14.0,1061.0,64.0,5.0,1.85,16,Maruti,WagonR,2.2072158060513508e-05,11.3363791990328,0.6151856390902335
Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,Diesel,Manual,First,24.3,1248.0,88.5,5.0,8.63,7,Maruti,VitaraBrezza,0.0001723414877683475,10.821277160534018,2.155244505095337
Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,Petrol,Manual,First,18.15,1198.0,82.0,5.0,4.85,8,Mahindra,KUV100,9.326923076923077e-05,10.858998997563564,1.5789787049493917
Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,Diesel,Automatic,First,11.74,2987.0,254.8,5.0,28.0,12,Mercedes-Benz,M-ClassML,0.0003294117647058824,11.350406535472453,3.332204510175204
Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,5.0,12,Volkswagen,PoloDiesel,8.064516129032258e-05,11.03488966402723,1.6094379124341003
Maruti Alto LXi,Delhi,2008,90000,Petrol,Manual,Second,19.7,796.0,46.3,5.0,1.25,17,Maruti,AltoLXi,1.388888888888889e-05,11.407564949312402,0.22314355131420976
Tata Nano LX SE,Kochi,2014,19698,Petrol,Manual,First,25.4,624.0,37.5,4.0,1.53,11,Tata,NanoLX,7.767286018885166e-05,9.888272386729648,0.4252677354043441
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,Diesel,Manual,First,25.32,1198.0,77.0,6.0,5.58,8,Mahindra,KUV100,0.00025325647891798664,10.000296608464188,1.7191887763932197
Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,Petrol,Manual,First,18.5,1197.0,82.9,5.0,4.74,11,Hyundai,i20Magna,0.00013357003973285992,10.476921711213846,1.556037135706985
Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,8.85,11,Hyundai,Elantra2.0,0.00019083969465648855,10.744494236334926,2.180417459019838
Toyota Corolla Altis G AT,Mumbai,2016,52001,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,10.11,9,Toyota,CorollaAltis,0.00019441933808965212,10.859018228147887,2.3135250330323798
Hyundai Elantra CRDi,Ahmedabad,2008,58005,Diesel,Manual,Second,14.9,1991.0,112.2,5.0,4.25,17,Hyundai,ElantraCRDi,7.326954572881649e-05,10.968284492709508,1.4469189829363254
Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,Petrol,Manual,First,11.25,2694.0,163.7,7.0,10.95,13,Toyota,InnovaCrysta,0.00015487101154107262,11.166257427370521,2.3933394562625097
Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,3.85,11,Hyundai,Xcent1.1,5.133333333333333e-05,11.225243392518447,1.3480731482996928
Mahindra Thar CRDe AC,Jaipur,2012,75800,Diesel,Manual,Second,16.55,2498.0,105.0,6.0,5.5,13,Mahindra,TharCRDe,7.255936675461742e-05,11.235853571630463,1.7047480922384253
Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,21.43,10,Audi,A42.0,0.0015701934349355217,9.52134826973146,3.064791809485486
Maruti Swift LDI,Delhi,2014,52000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,4.25,11,Maruti,SwiftLDI,8.173076923076923e-05,10.858998997563564,1.4469189829363254
Maruti Swift Ldi BSIV,Kolkata,2014,53000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,3.3,11,Maruti,SwiftLdi,6.226415094339622e-05,10.87804719253426,1.1939224684724346
Maruti Swift VDI,Delhi,2013,65650,Diesel,Manual,First,28.4,1248.0,74.0,5.0,3.85,12,Maruti,SwiftVDI,5.864432597105865e-05,11.092092879730941,1.3480731482996928
Hyundai Grand i10 Sportz,Chennai,2015,54000,Petrol,Manual,Third,18.9,1197.0,82.0,5.0,3.6,10,Hyundai,Grandi10,6.666666666666667e-05,10.896739325546411,1.2809338454620642
Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,Petrol,Manual,First,15.04,1598.0,103.2,5.0,3.99,10,Volkswagen,Vento2013-2015,0.00010230769230769232,10.571316925111784,1.3837912309017721
Renault KWID RXT,Kochi,2017,16542,Petrol,Manual,First,25.17,799.0,53.3,5.0,3.3,8,Renault,KWIDRXT,0.0001994922016684802,9.713657880251851,1.1939224684724346
Hyundai i10 Asta,Kolkata,2010,32000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.07,15,Hyundai,i10Asta,6.46875e-05,10.373491181781864,0.7275486072772777
Nissan X-Trail SLX AT,Hyderabad,2010,121812,Diesel,Automatic,First,13.29,1995.0,147.6,5.0,7.75,15,Nissan,X-TrailSLX,6.362263159623025e-05,11.71023415157243,2.0476928433652555
Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,Petrol,Manual,First,18.2,998.0,67.1,5.0,2.25,15,Maruti,ZenEstilo,5.725190839694656e-05,10.578979797857352,0.8109302162163288
Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,Diesel,Manual,First,13.68,2393.0,147.8,8.0,16.5,8,Toyota,InnovaCrysta,0.00075,9.998797732340453,2.803360380906535
Ford Figo Diesel Titanium,Bangalore,2010,72000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.75,15,Ford,FigoDiesel,3.8194444444444444e-05,11.184421397998193,1.0116009116784799
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,26.7,10,Mercedes-Benz,NewC-Class,0.0004603448275862069,10.968198289528557,3.2846635654062037
Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,10.0,14,Mercedes-Benz,NewC-Class,0.00015384615384615385,11.082142548877775,2.302585092994046
Tata Indica V2 eLS,Chennai,2016,178000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,2.5,9,Tata,IndicaV2,1.404494382022472e-05,12.089538829274222,0.9162907318741551
Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,13.5,13,Audi,A42.0,0.00020559210526315788,11.092306109090387,2.6026896854443837
Honda City ZX CVT,Mumbai,2007,63000,Petrol,Automatic,Second,16.4,1497.0,78.0,5.0,1.85,18,Honda,CityZX,2.9365079365079366e-05,11.05089000537367,0.6151856390902335
Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,Diesel,Automatic,First,0.0,1950.0,194.0,5.0,35.67,6,Mercedes-Benz,C-ClassProgressive,0.002320905719305095,9.640107772607312,3.5743099993708003
Maruti Ertiga SHVS VDI,Pune,2016,63000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,8.15,9,Maruti,ErtigaSHVS,0.00012936507936507936,11.05089000537367,2.0980179272527715
Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,Diesel,Manual,First,22.1,1396.0,88.7,5.0,10.5,7,Hyundai,Creta1.4,0.0008076923076923077,9.472704636443673,2.3513752571634776
Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,Petrol,Automatic,First,8.5,4806.0,500.0,5.0,14.5,17,Porsche,Cayenne2009-2014,0.00019863013698630136,11.198214720130528,2.6741486494265287
Mahindra XUV500 W8 4WD,Mumbai,2015,55729,Diesel,Manual,First,15.1,2179.0,140.0,7.0,9.65,10,Mahindra,XUV500W8,0.0001731593963645499,10.928255936745675,2.2669579153508947
Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,3.48,13,Hyundai,i10Sportz,7.702864225950684e-05,10.71836552166722,1.247032293786383
Nissan Terrano XV D Pre,Kochi,2015,56066,Diesel,Manual,First,19.64,1461.0,108.5,5.0,6.92,10,Nissan,TerranoXV,0.00012342596225876646,10.93428484717576,1.9344157696295783
Honda Brio VX AT,Coimbatore,2016,37300,Petrol,Automatic,Second,16.5,1198.0,86.8,5.0,6.46,9,Honda,BrioVX,0.00017319034852546916,10.526748605631907,1.8656293177945105
Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,Diesel,Automatic,Second,18.53,1968.0,187.74,5.0,29.5,11,Audi,A62.0,0.0005267857142857143,10.933106969717286,3.3843902633457743
Ford Fiesta 1.4 SXi TDCi,Jaipur,2008,111111,Diesel,Manual,First,17.8,1399.0,,5.0,2.0,17,Ford,Fiesta1.4,1.8000018000018e-05,11.618284980627555,0.6931471805599453
Toyota Innova 2.0 G1,Chennai,2006,230000,Petrol,Manual,Third,12.4,1998.0,132.0,8.0,4.5,19,Toyota,Innova2.0,1.956521739130435e-05,12.345834587905333,1.5040773967762742
Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,11.75,13,Toyota,Innova2.5,0.00011298076923076923,11.55214617812351,2.463853240590168
Hyundai Santro Xing XL,Hyderabad,2005,87591,Petrol,Manual,First,0.0,1086.0,,5.0,1.3,20,Hyundai,SantroXing,1.484170748136224e-05,11.380433531920369,0.26236426446749106
Maruti Swift VDI,Jaipur,2012,95100,Diesel,Manual,First,22.9,1248.0,74.0,5.0,3.75,13,Maruti,SwiftVDI,3.943217665615142e-05,11.462684248533481,1.3217558399823195
Tata Zest Revotron 1.2T XE,Pune,2017,70000,Petrol,Manual,First,17.57,1193.0,88.7,5.0,4.5,8,Tata,ZestRevotron,6.428571428571429e-05,11.156250521031495,1.5040773967762742
Honda Amaze SX i-VTEC,Kochi,2016,54944,Petrol,Manual,First,18.0,1198.0,86.7,5.0,4.82,9,Honda,AmazeSX,8.77256843331392e-05,10.914069763697203,1.572773928062509
Ford Figo Diesel ZXI,Hyderabad,2012,70337,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.8,13,Ford,FigoDiesel,3.980835122339594e-05,11.161053255132654,1.0296194171811581
Maruti Ritz VDi,Jaipur,2013,99638,Diesel,Manual,First,23.2,1248.0,73.94,5.0,3.11,12,Maruti,RitzVDi,3.121299102751962e-05,11.50929889691453,1.1346227261911428
Honda City i VTEC E,Delhi,2009,52000,Petrol,Manual,First,17.8,1497.0,117.3,5.0,3.25,16,Honda,Cityi,6.25e-05,10.858998997563564,1.1786549963416462
BMW 5 Series 2003-2012 525d,Delhi,2011,75000,Diesel,Automatic,Second,16.73,1995.0,218.0,5.0,13.9,14,BMW,5Series,0.00018533333333333333,11.225243392518447,2.631888840136646
Hyundai i10 Sportz 1.2,Pune,2009,95980,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.25,16,Hyundai,i10Sportz,2.3442383829964577e-05,11.471895115412236,0.8109302162163288
Hyundai Grand i10 Sportz,Bangalore,2016,16000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,5.75,9,Hyundai,Grandi10,0.000359375,9.680344001221918,1.749199854809259
Hyundai Santro Xing XO,Hyderabad,2007,73745,Petrol,Manual,First,17.0,1086.0,,5.0,2.1,18,Hyundai,SantroXing,2.84765068818225e-05,11.208368475293602,0.7419373447293773
Honda Amaze SX i-VTEC,Mumbai,2016,18949,Petrol,Manual,First,17.8,1198.0,86.7,5.0,5.0,9,Honda,AmazeSX,0.000263866167080057,9.849506438669614,1.6094379124341003
Toyota Fortuner 4x2 Manual,Delhi,2014,107000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,16.5,11,Toyota,Fortuner4x2,0.00015420560747663551,11.580584113444043,2.803360380906535
Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,39.58,7,Audi,A62011-2015,0.0008183265449583393,10.78657304197918,3.6783239401744194
Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,5.5,12,Ford,Ecosport1.5,9.649122807017544e-05,10.950806546816688,1.7047480922384253
Mahindra XUV500 W8 2WD,Delhi,2014,58000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,8.1,11,Mahindra,XUV500W8,0.0001396551724137931,10.968198289528557,2.0918640616783932
Honda Amaze SX i-DTEC,Kolkata,2015,30000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.5,10,Honda,AmazeSX,0.00011666666666666667,10.308952660644293,1.252762968495368
Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,Diesel,Manual,First,22.07,1199.0,73.9,5.0,2.79,12,Volkswagen,PoloDiesel,8.155033321641529e-05,10.440331738700673,1.0260415958332743
Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,Diesel,Manual,First,16.2,1493.0,110.0,5.0,3.45,15,Hyundai,VernaTransform,4.928430616268107e-05,11.156279092051912,1.2383742310432684
Maruti Wagon R VXI BS IV,Bangalore,2016,62000,Petrol,Manual,First,18.9,998.0,67.1,5.0,4.45,9,Maruti,WagonR,7.17741935483871e-05,11.03488966402723,1.4929040961781488
Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,Petrol,Manual,First,15.26,1598.0,103.5,5.0,2.65,15,Volkswagen,PoloPetrol,4.2741246108933725e-05,11.034905792929415,0.9745596399981308
Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,3.8,14,Hyundai,i201.4,4.812685225056359e-05,11.276671344505923,1.33500106673234
Hyundai i20 Asta 1.2,Mumbai,2014,30180,Petrol,Manual,First,18.5,1197.0,82.85,5.0,4.65,11,Hyundai,i20Asta,0.00015407554671968191,10.31493473232184,1.536867219599265
Datsun GO Plus T Petrol,Pune,2017,32851,Petrol,Manual,First,19.83,1198.0,67.0,7.0,3.95,8,Datsun,GOPlus,0.00012023987093239172,10.39973746484973,1.3737155789130306
Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,9.8,15,Audi,A43.0,0.0003266666666666667,10.308952660644293,2.2823823856765264
Hyundai i20 2015-2017 Asta,Pune,2009,66000,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,2.7,16,Hyundai,i202015-2017,4.0909090909090915e-05,11.097410021008562,0.9932517730102834
Maruti Omni 5 Str STD,Coimbatore,2010,93850,Petrol,Manual,First,14.0,796.0,35.0,5.0,2.41,15,Maruti,Omni5,2.5679275439531168e-05,11.449453042014655,0.8796267475025636
Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197.0,78.9,5.0,3.9,11,Toyota,EtiosLiva,7.358490566037736e-05,10.87804719253426,1.3609765531356006
Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,Diesel,Automatic,Second,14.74,2993.0,270.9,5.0,24.0,14,Jaguar,XF3.0,0.0003076923076923077,11.26446410567173,3.1780538303479458
Mahindra XUV500 W8 2WD,Delhi,2012,65000,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,5.75,13,Mahindra,XUV500W8,8.846153846153847e-05,11.082142548877775,1.749199854809259
Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,5.25,11,Hyundai,Verna1.6,0.00013125,10.596634733096073,1.6582280766035324
Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,19.25,8,Toyota,InnovaCrysta,0.0006416666666666667,10.308952660644293,2.9575110607337933
Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196.0,73.0,5.0,3.91,8,Maruti,Eeco5,0.00010275142564318188,10.546735203808643,1.3635373739972745
Tata Nano Twist XT,Bangalore,2014,25500,Petrol,Manual,First,25.4,624.0,37.5,4.0,2.15,11,Tata,NanoTwist,8.431372549019608e-05,10.146433731146518,0.7654678421395714
BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,20.75,10,BMW,3Series,0.0003699609535186407,10.934659335602204,3.0325462466767075
Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,Petrol,Manual,First,13.5,1799.0,130.0,5.0,3.35,15,Honda,Civic2006-2010,4.712469052442044e-05,11.17167382517569,1.208960345836975
Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,11.11,11,Toyota,Innova2.5,0.00020199999999999998,10.915088464214607,2.4078456036515385
Volvo V40 Cross Country D3,Bangalore,2014,32700,Diesel,Automatic,First,23.3,1984.0,150.0,5.0,20.0,11,Volvo,V40Cross,0.0006116207951070336,10.395130356885344,2.995732273553991
Nissan Micra XV CVT,Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198.0,75.94,5.0,6.55,9,Nissan,MicraXV,0.00016423449175066447,10.593680373269637,1.8794650496471605
BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,Petrol,Automatic,First,10.8,2497.0,215.0,5.0,7.0,16,BMW,5Series,5.46875e-05,11.759785542901755,1.9459101490553132
Maruti Vitara Brezza VDi,Mumbai,2016,55000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,7.5,9,Maruti,VitaraBrezza,0.00013636363636363637,10.915088464214607,2.0149030205422647
Hyundai Santro Xing XL eRLX Euro III,Mumbai,2005,102000,Petrol,Manual,Second,17.0,1086.0,,5.0,0.85,20,Hyundai,SantroXing,8.333333333333334e-06,11.532728092266408,-0.16251892949777494
Mercedes-Benz B Class B200 CDI,Pune,2014,53753,Diesel,Automatic,Second,15.0,2143.0,107.3,5.0,16.75,11,Mercedes-Benz,BClass,0.00031161051476196676,10.892154758385857,2.8183982582710754
Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,Diesel,Manual,First,22.0,1582.0,126.2,5.0,10.95,7,Hyundai,VernaCRDi,0.0010682926829268292,9.235032984566555,2.3933394562625097
Maruti Wagon R LXI BS IV,Pune,2011,43874,Petrol,Manual,First,18.9,998.0,67.1,5.0,2.45,14,Maruti,WagonR,5.5841728586406535e-05,10.689077168485634,0.8960880245566357
Tata Nano XTA,Coimbatore,2017,32684,Petrol,Automatic,First,21.9,624.0,37.48,4.0,3.23,8,Tata,NanoXTA,9.882511320523803e-05,10.394640940504598,1.172482137234565
Mahindra Scorpio VLX,Kolkata,2014,42000,Diesel,Manual,First,12.05,2179.0,120.0,8.0,7.75,11,Mahindra,ScorpioVLX,0.00018452380952380953,10.645424897265505,2.0476928433652555
Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,Petrol,Automatic,First,11.7,1796.0,178.0,5.0,9.35,16,Mercedes-Benz,NewC-Class,0.00032978273137697513,10.252452853404808,2.2353763433005955
Maruti Wagon R LXI CNG,Pune,2013,89900,CNG,Manual,First,26.6,998.0,58.16,5.0,3.25,12,Maruti,WagonR,3.615127919911012e-05,11.406453220459712,1.1786549963416462
Honda CR-V 2.4 MT,Bangalore,2007,47700,Petrol,Manual,Second,10.8,2354.0,152.0,5.0,5.25,18,Honda,CR-V2.4,0.000110062893081761,10.772686676876432,1.6582280766035324
Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,7.25,10,Volkswagen,Vento1.5,0.0001318181818181818,10.915088464214607,1.9810014688665833
Maruti Ciaz VXi Plus,Kochi,2017,44285,Petrol,Manual,First,20.73,1373.0,91.1,5.0,7.47,8,Maruti,CiazVXi,0.0001686801400022581,10.698401298243683,2.010894999144726
Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,13.25,9,Mahindra,XUV500AT,0.00024537037037037035,10.896739325546411,2.583997552432231
Maruti Ritz VXI ABS,Coimbatore,2016,30232,Petrol,Manual,First,21.1,1197.0,85.8,5.0,5.81,9,Maruti,RitzVXI,0.00019218047102408044,10.316656245029325,1.7595805708638197
